State,State_Full,City,percent_completed_hs,Population
AL,Alabama,Abanda CDP,21.2,52.0
AL,Alabama,Abbeville city,69.1,2646.0
AL,Alabama,Adamsville city,78.9,4454.0
AL,Alabama,Addison town,81.4,682.0
AL,Alabama,Akron town,68.6,293.0
AL,Alabama,Alabaster city,89.3,31905.0
AL,Alabama,Albertville city,72.7,21406.0
AL,Alabama,Alexander City city,78.1,14787.0
AL,Alabama,Alexandria CDP,88.8,3912.0
AL,Alabama,Aliceville city,74.3,3727.0
AL,Alabama,Allgood town,48.1,803.0
AL,Alabama,Altoona town,66.9,808.0
AL,Alabama,Andalusia city,81.1,9058.0
AL,Alabama,Anderson town,85.7,253.0
AL,Alabama,Anniston city,79.8,22626.0
AL,Alabama,Arab city,87.6,8282.0
AL,Alabama,Ardmore town,77.7,1419.0
AL,Alabama,Argo town,87.5,4146.0
AL,Alabama,Ariton town,71.3,702.0
AL,Alabama,Arley town,80.6,476.0
AL,Alabama,Ashford town,83.5,2316.0
AL,Alabama,Ashland town,77.9,2667.0
AL,Alabama,Ashville city,77.6,2342.0
AL,Alabama,Athens city,83.4,23938.0
AL,Alabama,Atmore city,73.7,10072.0
AL,Alabama,Attalla city,76.0,5965.0
AL,Alabama,Auburn city,94.3,58693.0
AL,Alabama,Autaugaville town,71.2,1119.0
AL,Alabama,Avon town,82.8,594.0
AL,Alabama,Axis CDP,79.9,911.0
AL,Alabama,Babbie town,81.2,687.0
AL,Alabama,Baileyton town,74.7,909.0
AL,Alabama,Bakerhill town,72.4,209.0
AL,Alabama,Ballplay CDP,80.3,1535.0
AL,Alabama,Banks town,73.0,136.0
AL,Alabama,Bay Minette city,79.1,8843.0
AL,Alabama,Bayou La Batre city,58.5,2634.0
AL,Alabama,Bear Creek town,76.7,1296.0
AL,Alabama,Beatrice town,89.1,294.0
AL,Alabama,Beaverton town,87.9,273.0
AL,Alabama,Belgreen CDP,87.0,66.0
AL,Alabama,Belk town,63.8,289.0
AL,Alabama,Bellamy CDP,86.5,816.0
AL,Alabama,Belle Fontaine CDP,91.9,539.0
AL,Alabama,Benton town,100.0,49.0
AL,Alabama,Berry town,65.4,1392.0
AL,Alabama,Bessemer city,81.5,27043.0
AL,Alabama,Billingsley town,71.3,176.0
AL,Alabama,Birmingham city,85.1,212211.0
AL,Alabama,Black town,90.0,157.0
AL,Alabama,Blountsville town,73.1,1967.0
AL,Alabama,Blue Ridge CDP,97.6,1461.0
AL,Alabama,Blue Springs town,95.6,99.0
AL,Alabama,Boaz city,76.6,9673.0
AL,Alabama,Boligee town,79.9,640.0
AL,Alabama,Bon Air town,85.7,103.0
AL,Alabama,Bon Secour CDP,79.0,648.0
AL,Alabama,Boykin CDP,53.7,67.0
AL,Alabama,Brantley town,75.1,971.0
AL,Alabama,Brantleyville CDP,85.1,1111.0
AL,Alabama,Brent city,73.8,4898.0
AL,Alabama,Brewton city,84.5,5424.0
AL,Alabama,Bridgeport city,74.9,2300.0
