State,State_Full,City,Median Income,Population
AL,Alabama,Abanda CDP,11207.0,52.0
AL,Alabama,Abbeville city,25615.0,2646.0
AL,Alabama,Adamsville city,42575.0,4454.0
AL,Alabama,Addison town,37083.0,682.0
AL,Alabama,Akron town,21667.0,293.0
AL,Alabama,Alabaster city,71816.0,31905.0
AL,Alabama,Albertville city,32911.0,21406.0
AL,Alabama,Alexander City city,29874.0,14787.0
AL,Alabama,Alexandria CDP,56058.0,3912.0
AL,Alabama,Aliceville city,21131.0,3727.0
AL,Alabama,Allgood town,42009.0,803.0
AL,Alabama,Altoona town,27566.0,808.0
AL,Alabama,Andalusia city,31968.0,9058.0
AL,Alabama,Anderson town,34792.0,253.0
AL,Alabama,Anniston city,29681.0,22626.0
AL,Alabama,Arab city,40292.0,8282.0
AL,Alabama,Ardmore town,35670.0,1419.0
AL,Alabama,Argo town,57212.0,4146.0
AL,Alabama,Ariton town,24286.0,702.0
AL,Alabama,Arley town,28750.0,476.0
AL,Alabama,Ashford town,42704.0,2316.0
AL,Alabama,Ashland town,31438.0,2667.0
AL,Alabama,Ashville city,40547.0,2342.0
AL,Alabama,Athens city,47542.0,23938.0
AL,Alabama,Atmore city,26775.0,10072.0
AL,Alabama,Attalla city,37191.0,5965.0
AL,Alabama,Auburn city,38342.0,58693.0
AL,Alabama,Autaugaville town,24833.0,1119.0
AL,Alabama,Avon town,40417.0,594.0
AL,Alabama,Axis CDP,55750.0,911.0
AL,Alabama,Babbie town,41912.0,687.0
AL,Alabama,Baileyton town,31875.0,909.0
AL,Alabama,Bakerhill town,31875.0,209.0
AL,Alabama,Ballplay CDP,37778.0,1535.0
AL,Alabama,Banks town,28750.0,136.0
AL,Alabama,Bay Minette city,31576.0,8843.0
AL,Alabama,Bayou La Batre city,34583.0,2634.0
AL,Alabama,Bear Creek town,35563.0,1296.0
AL,Alabama,Beatrice town,18417.0,294.0
AL,Alabama,Beaverton town,31875.0,273.0
AL,Alabama,Belgreen CDP,27750.0,66.0
AL,Alabama,Belk town,28906.0,289.0
AL,Alabama,Bellamy CDP,22132.0,816.0
AL,Alabama,Belle Fontaine CDP,34615.0,539.0
AL,Alabama,Benton town,,49.0
AL,Alabama,Berry town,25865.0,1392.0
AL,Alabama,Bessemer city,29615.0,27043.0
AL,Alabama,Billingsley town,41250.0,176.0
AL,Alabama,Birmingham city,31061.0,212211.0
AL,Alabama,Black town,41071.0,157.0
AL,Alabama,Blountsville town,30152.0,1967.0
AL,Alabama,Blue Ridge CDP,96333.0,1461.0
AL,Alabama,Blue Springs town,45313.0,99.0
AL,Alabama,Boaz city,35974.0,9673.0
