State,State_Full,City,poverty_rate,Population
AL,Alabama,Abanda CDP,78.8,52.0
AL,Alabama,Abbeville city,29.1,2646.0
AL,Alabama,Adamsville city,25.5,4454.0
AL,Alabama,Addison town,30.7,682.0
AL,Alabama,Akron town,42.0,293.0
AL,Alabama,Alabaster city,11.2,31905.0
AL,Alabama,Albertville city,26.7,21406.0
AL,Alabama,Alexander City city,30.4,14787.0
AL,Alabama,Alexandria CDP,9.7,3912.0
AL,Alabama,Aliceville city,41.3,3727.0
AL,Alabama,Allgood town,27.7,803.0
AL,Alabama,Altoona town,27.5,808.0
AL,Alabama,Andalusia city,24.5,9058.0
AL,Alabama,Anderson town,13.8,253.0
AL,Alabama,Anniston city,31.7,22626.0
AL,Alabama,Arab city,16.7,8282.0
AL,Alabama,Ardmore town,19.1,1419.0
AL,Alabama,Argo town,8.6,4146.0
AL,Alabama,Ariton town,37.6,702.0
AL,Alabama,Arley town,31.6,476.0
AL,Alabama,Ashford town,18.8,2316.0
AL,Alabama,Ashland town,22.4,2667.0
AL,Alabama,Ashville city,28.3,2342.0
AL,Alabama,Athens city,13.0,23938.0
AL,Alabama,Atmore city,24.7,10072.0
AL,Alabama,Attalla city,20.3,5965.0
AL,Alabama,Auburn city,31.8,58693.0
AL,Alabama,Autaugaville town,24.1,1119.0
AL,Alabama,Avon town,22.2,594.0
AL,Alabama,Axis CDP,6.8,911.0
AL,Alabama,Babbie town,15.7,687.0
AL,Alabama,Baileyton town,28.6,909.0
AL,Alabama,Bakerhill town,19.1,209.0
AL,Alabama,Ballplay CDP,7.1,1535.0
AL,Alabama,Banks town,38.2,136.0
AL,Alabama,Bay Minette city,26.3,8843.0
AL,Alabama,Bayou La Batre city,30.1,2634.0
AL,Alabama,Bear Creek town,25.3,1296.0
AL,Alabama,Beatrice town,44.9,294.0
AL,Alabama,Beaverton town,8.1,273.0
AL,Alabama,Belgreen CDP,28.8,66.0
AL,Alabama,Belk town,39.1,289.0
AL,Alabama,Bellamy CDP,42.9,816.0
AL,Alabama,Belle Fontaine CDP,36.7,539.0
AL,Alabama,Benton town,0.0,49.0
