State,State_Full,City,share_white,share_black,share_native_american,share_asian,share_hispanic,Population
AL,Alabama,Abanda CDP,67.2,30.2,0.0,0.0,1.6,52.0
AL,Alabama,Abbeville city,54.4,41.4,0.1,1.0,3.1,2646.0
AL,Alabama,Adamsville city,52.3,44.9,0.5,0.3,2.3,4454.0
AL,Alabama,Addison town,99.1,0.1,0.0,0.1,0.4,682.0
AL,Alabama,Akron town,13.2,86.5,0.0,0.0,0.3,293.0
AL,Alabama,Alabaster city,79.4,13.5,0.4,0.9,9.0,31905.0
AL,Alabama,Albertville city,75.9,1.9,0.8,0.5,27.9,21406.0
AL,Alabama,Alexander City city,62.2,32.0,0.2,0.9,4.8,14787.0
AL,Alabama,Alexandria CDP,87.4,10.2,0.3,0.5,0.9,3912.0
AL,Alabama,Aliceville city,22.6,74.9,0.1,0.0,1.2,3727.0
AL,Alabama,Allgood town,79.6,0.6,0.3,0.6,49.4,803.0
AL,Alabama,Altoona town,95.8,1.7,0.2,0.2,1.1,808.0
AL,Alabama,Andalusia city,70.5,25.9,0.4,1.0,1.9,9058.0
AL,Alabama,Anderson town,97.9,0.0,0.4,0.0,0.7,253.0
AL,Alabama,Anniston city,44.7,51.5,0.3,0.8,2.7,22626.0
AL,Alabama,Arab city,96.6,0.1,0.6,0.7,1.7,8282.0
AL,Alabama,Ardmore town,94.3,1.9,0.8,0.9,1.3,1419.0
AL,Alabama,Argo town,94.1,3.6,0.4,0.3,0.5,4146.0
AL,Alabama,Ariton town,78.3,19.2,0.0,0.1,6.0,702.0
AL,Alabama,Arley town,94.4,0.0,0.6,0.3,1.4,476.0
AL,Alabama,Ashford town,79.0,19.5,0.2,0.2,0.8,2316.0
AL,Alabama,Ashland town,71.5,24.1,0.3,0.7,5.7,2667.0
AL,Alabama,Ashville city,75.8,20.3,0.2,0.3,3.8,2342.0
AL,Alabama,Athens city,73.0,17.5,0.6,0.9,8.8,23938.0
AL,Alabama,Atmore city,40.0,55.6,1.8,0.3,1.8,10072.0
AL,Alabama,Attalla city,81.5,12.7,0.4,0.5,4.7,5965.0
AL,Alabama,Auburn city,75.1,16.5,0.3,5.3,2.9,58693.0
AL,Alabama,Autaugaville town,31.3,66.8,0.2,0.0,0.8,1119.0
AL,Alabama,Avon town,94.7,1.8,1.8,0.0,1.3,594.0
AL,Alabama,Axis CDP,66.8,26.9,3.2,0.1,0.9,911.0
AL,Alabama,Babbie town,96.7,0.0,0.0,1.5,0.2,687.0
AL,Alabama,Baileyton town,96.2,0.2,0.5,0.0,1.5,909.0
AL,Alabama,Bakerhill town,61.6,35.5,0.7,0.0,1.1,209.0
AL,Alabama,Ballplay CDP,97.5,0.1,0.7,0.3,1.0,1535.0
AL,Alabama,Banks town,69.3,24.6,2.2,0.0,1.1,136.0
AL,Alabama,Bay Minette city,60.4,35.3,1.0,0.8,1.8,8843.0
AL,Alabama,Bayou La Batre city,60.3,12.3,0.4,22.8,2.8,2634.0
AL,Alabama,Bear Creek town,97.1,0.1,0.7,0.2,1.8,1296.0
AL,Alabama,Beatrice town,23.6,76.1,0.3,0.0,0.0,294.0
AL,Alabama,Beaverton town,95.0,5.0,0.0,0.0,1.0,273.0
AL,Alabama,Belgreen CDP,96.1,0.0,0.0,0.0,3.9,66.0
AL,Alabama,Belk town,95.8,2.8,0.0,0.5,0.9,289.0
AL,Alabama,Bellamy CDP,8.3,90.8,0.0,0.9,1.3,816.0
AL,Alabama,Belle Fontaine CDP,92.3,1.6,0.5,2.3,3.6,539.0
AL,Alabama,Benton town,81.6,18.4,0.0,0.0,0.0,49.0
AL,Alabama,Berry town,90.8,7.4,0.0,0.0,0.8,1392.0
AL,Alabama,Bessemer city,24.3,71.2,0.3,0.2,4.1,27043.0
AL,Alabama,Billingsley town,86.1,11.1,2.1,0.0,0.7,176.0
